Activity,Day,Channel,TargetProducts,Cost
1,1,direct mail,1,2.24
2,78,direct mail,1,2.24
3,7,direct mail,1,2.24
4,53,direct mail,2;12,2.24
5,86,direct mail,2;12,2.24
6,71,direct mail,2;12,2.24
7,3,direct mail,3;11,2.24
8,77,email,4,0.0
9,92,email,4,0.0
10,22,call center,5,14.560000000000002
11,76,call center,5,14.560000000000002
12,8,call center,6,14.560000000000002
13,78,call center,6,14.560000000000002
14,73,direct mail,7,2.24
15,76,direct mail,7,2.24
16,77,direct mail,7,2.24
17,44,email,8,0.0
18,21,email,8,0.0
19,31,email,8,0.0
20,37,email,8,0.0
21,104,call center,9,14.560000000000002
22,8,call center,9,14.560000000000002
23,46,call center,9,14.560000000000002
24,69,call center,9,14.560000000000002
25,58,text message,10,0.056000000000000015
26,113,text message,10,0.056000000000000015
27,83,text message,10,0.056000000000000015
28,97,call center,1;12,14.560000000000002
29,14,call center,6,14.560000000000002
30,11,call center,6,14.560000000000002
31,24,call center,6,14.560000000000002
32,82,direct mail,3;12,2.24
33,8,direct mail,3;12,2.24
34,25,direct mail,3;12,2.24
35,75,email,2,0.0
36,93,email,2,0.0
37,21,email,2,0.0
38,33,direct mail,9;12,2.24
39,13,direct mail,9;12,2.24
40,66,text message,6;11,0.056000000000000015
41,95,text message,6;11,0.056000000000000015
42,61,email,10,0.0
43,106,email,10,0.0
44,25,call center,5;12,14.560000000000002
45,83,call center,5;12,14.560000000000002
46,116,call center,10,14.560000000000002
47,98,call center,10,14.560000000000002
48,3,direct mail,2,2.24
49,109,email,3;11,0.0
50,93,email,3;11,0.0
51,104,email,3;11,0.0
52,99,text message,1,0.056000000000000015
53,11,email,5;12,0.0
54,55,email,5;12,0.0
55,97,email,5;12,0.0
56,106,email,8,0.0
57,83,email,8,0.0
58,87,email,8,0.0
59,71,text message,1,0.056000000000000015
60,67,text message,1,0.056000000000000015
61,72,direct mail,7,2.24
62,104,direct mail,7,2.24
63,49,call center,3;12,14.560000000000002
64,55,text message,5,0.056000000000000015
65,16,direct mail,4,2.24
66,6,direct mail,4,2.24
67,18,email,7,0.0
68,43,email,7,0.0
69,21,email,8;11,0.0
70,119,email,8;11,0.0
71,49,email,8;11,0.0
72,23,text message,7,0.056000000000000015
73,102,email,4,0.0
74,14,email,4,0.0
75,114,direct mail,1,2.24
76,115,call center,7,14.560000000000002
77,98,email,5,0.0
78,54,direct mail,8,2.24
79,85,direct mail,7,2.24
80,11,direct mail,7,2.24
81,97,direct mail,7,2.24
82,56,email,3,0.0
83,62,text message,10,0.056000000000000015
84,57,call center,6,14.560000000000002
85,90,call center,10;12,14.560000000000002
86,22,call center,10;12,14.560000000000002
87,104,call center,10;12,14.560000000000002
88,97,text message,10,0.056000000000000015
89,84,text message,10,0.056000000000000015
90,26,text message,10,0.056000000000000015
91,114,text message,10,0.056000000000000015
92,15,text message,10,0.056000000000000015
93,14,email,9;12,0.0
94,85,email,7;11,0.0
95,117,email,7;11,0.0
96,44,email,5,0.0
97,7,email,3;11,0.0
98,78,email,3;11,0.0
99,57,direct mail,10,2.24
100,60,email,5,0.0
101,16,email,5,0.0
102,25,email,1,0.0
103,10,email,1,0.0
104,67,email,1,0.0
105,72,call center,1,14.560000000000002
106,54,call center,1,14.560000000000002
107,70,text message,4,0.056000000000000015
108,37,text message,5,0.056000000000000015
109,102,text message,10,0.056000000000000015
110,22,call center,4,14.560000000000002
111,41,call center,4,14.560000000000002
112,78,call center,10;11,14.560000000000002
113,92,email,2,0.0
114,50,email,2,0.0
115,114,email,2,0.0
116,48,email,3,0.0
117,78,direct mail,6,2.24
118,41,direct mail,5,2.24
119,79,direct mail,5,2.24
120,46,direct mail,5,2.24
121,88,direct mail,5,2.24
122,17,direct mail,1;11,2.24
123,29,direct mail,1;11,2.24
124,107,email,9,0.0
125,46,email,9,0.0
